timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0,Marker1,Marker2
149947.340,23.926,26.855,26.367,24.414,42.480,0.000,0.000,0.000
149947.344,23.438,29.297,22.949,25.391,39.062,0.000,0.000,0.000
149947.346,17.090,25.879,23.926,20.508,34.180,0.000,0.000,0.000
149947.350,22.949,26.367,27.344,21.484,42.969,0.000,0.000,0.000
149947.354,25.391,25.391,29.297,20.508,42.480,0.000,0.000,0.000
149947.358,20.508,25.879,26.367,17.090,35.156,0.000,0.000,0.000
149947.362,21.484,30.273,23.926,18.555,32.715,0.000,0.000,0.000
149947.366,25.391,32.715,29.785,20.508,34.668,0.000,0.000,0.000
149947.370,24.414,28.320,34.180,19.043,32.227,0.000,0.000,0.000
149947.374,23.926,29.785,31.250,17.578,33.203,0.000,0.000,0.000
149947.377,19.531,33.691,25.879,19.043,34.668,0.000,0.000,0.000
149947.381,22.461,32.227,25.391,23.438,34.668,0.000,0.000,0.000
149947.385,33.691,34.668,25.391,23.438,40.527,0.000,0.000,0.000
149947.389,35.156,32.715,25.391,22.461,37.598,0.000,0.000,0.000
149947.391,24.902,30.273,30.762,20.996,30.762,0.000,0.000,0.000
149947.395,18.555,29.297,29.785,21.484,30.762,0.000,0.000,0.000
149947.399,23.926,33.203,28.320,22.461,37.598,0.000,0.000,0.000
149947.403,26.855,35.156,32.227,22.461,40.039,0.000,0.000,0.000
149947.407,23.926,33.203,30.273,23.438,41.016,0.000,0.000,0.000
149947.411,23.926,29.297,22.949,26.367,39.551,0.000,0.000,0.000
149947.415,29.785,28.320,22.949,31.250,42.969,0.000,0.000,0.000
149947.419,31.738,33.691,30.273,32.715,41.992,0.000,0.000,0.000
149947.423,27.832,31.738,33.691,30.762,35.156,0.000,0.000,0.000
149947.426,29.297,26.855,36.133,36.621,40.527,0.000,0.000,0.000
149947.430,32.227,28.320,24.414,41.016,43.457,0.000,0.000,0.000
149947.434,32.227,29.785,14.648,35.645,41.016,0.000,0.000,0.000
149947.438,32.227,27.344,24.414,32.715,39.062,0.000,0.000,0.000
149947.442,31.250,24.902,34.668,34.180,45.410,0.000,0.000,0.000
149947.446,29.785,26.855,39.551,35.645,47.363,0.000,0.000,0.000
149947.450,31.250,27.832,38.574,34.668,37.109,0.000,0.000,0.000
149947.454,33.691,26.855,29.785,34.180,33.203,0.000,0.000,0.000
149947.458,30.273,30.273,29.297,35.156,32.715,0.000,0.000,0.000
149947.462,19.531,30.762,30.762,32.227,21.973,0.000,0.000,0.000
149947.465,15.137,29.785,25.879,28.809,13.184,0.000,0.000,0.000
149947.469,19.531,31.250,27.344,29.297,8.789,0.000,0.000,0.000
149947.473,18.066,28.320,28.809,30.273,3.906,0.000,0.000,0.000
149947.477,10.742,25.879,33.203,29.297,7.324,0.000,0.000,0.000
149947.481,12.695,25.879,36.133,24.414,13.184,0.000,0.000,0.000
149947.496,20.508,25.879,30.762,21.484,21.484,0.000,0.000,0.000
149947.500,23.926,27.832,27.832,23.926,30.273,0.000,0.000,0.000
149947.504,22.461,30.762,27.832,27.832,29.785,0.000,0.000,0.000
149947.508,24.902,30.273,22.461,28.320,29.785,0.000,0.000,0.000
149947.512,27.344,27.344,20.996,25.879,34.180,0.000,0.000,0.000
149947.516,25.879,23.926,25.879,24.414,33.203,0.000,0.000,0.000
149947.520,22.461,24.414,28.320,23.438,28.320,0.000,0.000,0.000
149947.524,23.438,27.832,28.320,26.367,28.809,0.000,0.000,0.000
149947.527,26.855,29.297,27.832,27.344,26.855,0.000,0.000,0.000
149947.531,26.367,26.367,25.879,21.484,19.043,0.000,0.000,0.000
149947.535,23.438,26.855,22.461,19.043,16.113,0.000,0.000,0.000
149947.539,18.555,25.879,22.461,20.996,13.184,0.000,0.000,0.000
149947.541,20.996,25.391,24.414,22.461,16.113,0.000,0.000,0.000
149947.545,27.832,27.344,28.320,22.461,22.461,0.000,0.000,0.000
149947.549,28.320,25.879,31.250,24.902,25.391,0.000,0.000,0.000
149947.553,28.320,30.762,30.273,30.762,28.320,0.000,0.000,0.000
149947.557,31.738,35.156,26.855,28.809,25.391,0.000,0.000,0.000
149947.561,33.691,33.203,27.832,29.785,32.715,0.000,0.000,0.000
149947.565,32.715,34.668,26.367,28.320,37.598,0.000,0.000,0.000
149947.569,30.762,40.527,20.020,18.555,24.414,0.000,0.000,0.000
149947.573,20.508,35.156,23.926,12.695,13.672,0.000,0.000,0.000
149947.577,13.672,28.320,29.785,11.719,15.625,0.000,0.000,0.000
149947.580,18.555,27.344,29.785,17.578,23.926,0.000,0.000,0.000
149947.584,18.066,26.367,28.320,22.949,23.926,0.000,0.000,0.000
149947.586,17.090,31.250,28.809,24.902,26.855,0.000,0.000,0.000
149947.590,20.996,36.133,34.180,26.367,37.109,0.000,0.000,0.000
149947.594,19.531,31.738,31.738,22.461,33.203,0.000,0.000,0.000
149947.598,14.160,25.879,24.902,19.043,25.879,0.000,0.000,0.000
149947.602,17.090,29.297,20.996,21.484,27.344,0.000,0.000,0.000
149947.606,20.508,29.785,22.461,20.508,26.855,0.000,0.000,0.000
149947.610,21.484,27.832,26.367,16.602,24.902,0.000,0.000,0.000
149947.614,23.438,30.762,26.367,21.973,30.273,0.000,0.000,0.000
149947.617,21.973,30.273,26.855,24.414,37.109,0.000,0.000,0.000
149947.621,22.461,26.855,22.461,20.996,37.109,0.000,0.000,0.000
149947.625,21.973,28.320,23.438,19.043,36.133,0.000,0.000,0.000
149947.629,22.949,27.832,31.250,21.484,30.762,0.000,0.000,0.000
149947.631,22.461,26.367,28.320,26.367,21.484,0.000,0.000,0.000
149947.635,18.066,27.344,21.973,25.391,11.719,0.000,0.000,0.000
149947.639,18.555,25.879,26.367,24.902,10.742,0.000,0.000,0.000
149947.643,20.020,22.461,27.344,20.020,5.859,0.000,0.000,0.000
149947.647,18.066,30.273,25.391,16.113,3.906,0.000,0.000,0.000
149947.651,16.113,32.715,27.344,23.926,15.625,0.000,0.000,0.000
149947.655,18.066,24.414,25.391,25.879,22.461,0.000,0.000,0.000
149947.659,18.555,25.879,26.855,20.020,23.438,0.000,0.000,0.000
149947.662,18.066,30.273,28.809,22.949,24.414,0.000,0.000,0.000
149947.666,18.066,28.320,27.832,27.344,29.297,0.000,0.000,0.000
149947.670,19.531,32.227,26.367,25.879,35.156,0.000,0.000,0.000
149947.674,22.949,37.109,24.902,25.391,37.109,0.000,0.000,0.000
149947.676,24.414,36.621,32.227,27.344,35.645,0.000,0.000,0.000
149947.680,25.879,38.086,38.086,31.738,35.645,0.000,0.000,0.000
149947.684,25.879,38.574,35.156,28.320,38.574,0.000,0.000,0.000
149947.688,27.344,31.738,29.297,23.438,42.969,0.000,0.000,0.000
149947.692,30.762,30.273,28.320,24.902,35.645,0.000,0.000,0.000
149947.696,29.785,32.715,31.250,26.367,28.320,0.000,0.000,0.000
149947.700,30.273,33.691,31.250,27.344,31.738,0.000,0.000,0.000
149947.704,37.598,34.668,24.902,29.785,37.109,0.000,0.000,0.000
149947.707,40.527,32.715,23.926,31.738,35.156,0.000,0.000,0.000
149947.711,38.574,32.227,29.785,32.715,31.738,0.000,0.000,0.000
149947.715,33.203,29.785,30.273,34.668,39.062,0.000,0.000,0.000
149947.719,30.762,25.879,37.109,35.645,33.691,0.000,0.000,0.000
149947.721,29.785,24.902,40.039,34.668,23.438,0.000,0.000,0.000
149947.725,22.949,27.832,30.762,34.668,21.484,0.000,0.000,0.000
149947.729,12.695,27.832,29.297,33.203,14.160,0.000,0.000,0.000
149947.733,12.207,26.367,33.691,26.855,6.836,0.000,0.000,0.000
149947.737,17.090,31.250,33.691,24.902,15.137,0.000,0.000,0.000
149947.741,15.137,30.762,30.762,21.484,20.996,0.000,0.000,0.000
149947.745,6.836,25.391,29.785,18.555,14.160,0.000,0.000,0.000
149947.748,5.371,25.391,28.320,17.578,14.160,0.000,0.000,0.000
149947.752,11.719,27.344,28.320,18.555,19.043,0.000,0.000,0.000
149947.756,16.113,28.320,26.367,21.973,23.926,0.000,0.000,0.000
149947.760,16.113,25.391,21.973,21.484,30.273,0.000,0.000,0.000
149947.764,18.066,29.297,24.414,26.367,30.273,0.000,0.000,0.000
149947.766,20.020,33.691,21.484,26.367,23.926,0.000,0.000,0.000
149947.770,19.043,30.762,28.320,21.484,21.484,0.000,0.000,0.000
149947.774,20.996,28.809,34.180,24.902,26.855,0.000,0.000,0.000
149947.778,20.508,31.738,31.250,24.902,23.926,0.000,0.000,0.000
149947.782,18.555,32.715,30.273,20.996,26.367,0.000,0.000,0.000
149947.786,19.531,31.738,25.391,20.508,24.902,0.000,0.000,0.000
149947.790,19.043,30.762,24.902,18.555,17.578,0.000,0.000,0.000
149947.794,15.625,27.832,24.414,14.648,11.719,0.000,0.000,0.000
149947.797,20.020,30.762,24.902,16.113,10.254,0.000,0.000,0.000
149947.801,24.414,34.180,31.250,17.090,20.020,0.000,0.000,0.000
149947.805,21.973,31.250,34.180,17.090,23.438,0.000,0.000,0.000
149947.809,20.996,29.785,32.227,22.461,24.414,0.000,0.000,0.000
149947.826,18.066,29.297,31.738,22.461,26.367,0.000,0.000,0.000
149947.830,23.926,33.203,37.109,24.414,23.926,0.000,0.000,0.000
149947.834,32.227,36.133,38.574,28.320,23.438,0.000,0.000,0.000
149947.838,29.785,34.180,28.320,24.902,21.484,0.000,0.000,0.000
149947.842,25.391,32.715,22.949,21.484,20.508,0.000,0.000,0.000
149947.845,24.414,32.715,27.832,20.020,22.461,0.000,0.000,0.000
149947.849,26.367,30.762,24.414,20.996,24.414,0.000,0.000,0.000
149947.853,21.973,29.785,20.020,21.973,27.344,0.000,0.000,0.000
149947.857,20.020,32.715,19.043,23.438,23.926,0.000,0.000,0.000
149947.861,22.461,30.762,17.578,20.996,16.602,0.000,0.000,0.000
149947.865,23.926,30.762,26.367,18.066,16.602,0.000,0.000,0.000
149947.869,28.320,32.715,36.133,23.926,27.344,0.000,0.000,0.000
